id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,is_luxury,is_long_term,availability_ratio,log_price
27934.0,Nice room with superb city view,120437,Nuttee,Ratchathewi,13.75983,100.54134,Entire home/apt,1905,3,65,2020-01-06,0.5,2,353,0,False,False,0.9671232876712329,7.552762084214147
27979.0,"Easy going landlord,easy place",120541,Emy,Bang Na,13.66818,100.61674,Private room,1316,1,0,,0.0,2,358,0,False,False,0.9808219178082191,7.183111701743281
35780.0,Spacious one bedroom at The Kris Condo Bldg. 3,153730,Sirilak,Din Daeng,13.78823,100.57256,Private room,1286,7,2,2022-04-01,0.03,1,323,1,False,False,0.8849315068493151,7.160069207596127
941865.0,Suite Room 3 at MetroPoint,610315,Kasem,Bang Kapi,13.76872,100.63338,Private room,1905,1,0,,0.0,3,365,0,False,False,1.0,7.552762084214147
48736.0,Condo with Chaopraya River View,222005,Athitaya,Rat Burana,13.68556,100.49535,Private room,1558,3,1,2014-02-03,0.01,1,365,0,False,False,1.0,7.351799869057777
1738669.0,1 chic bedroom apartment in BKK,7045870,Jiraporn,Chatuchak,13.82925,100.56737,Entire home/apt,1461,1,0,,0.0,1,365,0,False,False,1.0,7.2875606403097235
1744248.0,"Batcave, Pool view, near Chatuchak",9181769,Nol,Chatuchak,13.81693,100.56433,Entire home/apt,1558,3,10,2016-03-29,0.09,1,365,0,False,False,1.0,7.351799869057777
952677.0,Standard Room Decor do Hostel,5171292,Somsak,Khlong San,13.7204,100.50757,Private room,700,2,4,2019-12-27,0.03,10,87,0,False,False,0.23835616438356164,6.55250788703459
55681.0,Sathorn Terrace Apartment(61),263049,Tor,Bang Rak,13.71934,100.5176,Private room,1150,2,27,2019-01-03,0.19,7,320,0,False,False,0.8767123287671232,7.048386408721883
1765918.0,2BR apt in a cozy neighborhood,9279712,Jing,Phaya Thai,13.77486,100.54272,Entire home/apt,1893,15,129,2022-09-30,1.17,1,356,1,False,False,0.9753424657534246,7.546446273746024
